"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20231101","5호선","광나루(장신대)","15831","14696","20231104",""
"20231101","5호선","천호(풍납토성)","19745","19928","20231104",""
"20231101","5호선","강동","19720","19281","20231104",""
"20231101","5호선","길동","8620","8863","20231104",""
"20231101","5호선","굽은다리(강동구민회관앞)","10317","9932","20231104",""
"20231101","5호선","명일","10082","10538","20231104",""
"20231101","5호선","고덕","11868","11819","20231104",""
"20231101","5호선","상일동","16623","15515","20231104",""
"20231101","5호선","둔촌동","9810","9878","20231104",""
"20231101","5호선","올림픽공원(한국체대)","5387","4623","20231104",""
"20231101","5호선","방이","7946","8083","20231104",""
"20231101","5호선","오금","4186","4308","20231104",""
"20231101","5호선","개롱","7562","7661","20231104",""
"20231101","5호선","거여","11560","11292","20231104",""
"20231101","5호선","마천","8610","7808","20231104",""
"20231101","5호선","강일","6427","5894","20231104",""
"20231101","5호선","미사","18975","19253","20231104",""
"20231101","5호선","하남풍산","4914","4877","20231104",""
"20231101","5호선","하남시청(덕풍·신장)","8631","8323","20231104",""
"20231101","5호선","하남검단산","6743","6352","20231104",""
"20231101","6호선","응암","19635","19356","20231104",""
"20231101","6호선","역촌","4180","5077","20231104",""
"20231101","6호선","불광","4844","4705","20231104",""
"20231101","6호선","독바위","3024","3184","20231104",""
"20231101","6호선","연신내","1","0","20231104",""
"20231101","6호선","구산","8762","6492","20231104",""
"20231101","6호선","새절(신사)","14496","13437","20231104",""
"20231101","6호선","증산(명지대앞)","11059","11126","20231104",""
"20231101","6호선","디지털미디어시티","16948","18637","20231104",""
"20231101","6호선","월드컵경기장(성산)","5355","5556","20231104",""
"20231101","6호선","마포구청","15977","14345","20231104",""
"20231101","6호선","망원","14876","15751","20231104",""
"20231101","6호선","합정","13862","13637","20231104",""
"20231101","6호선","상수","11013","11938","20231104",""
"20231101","6호선","광흥창(서강)","10617","10162","20231104",""
"20231101","6호선","대흥(서강대앞)","10878","11277","20231104",""
"20231101","6호선","공덕","21288","20640","20231104",""
"20231101","6호선","효창공원앞","8697","8049","20231104",""
"20231101","6호선","삼각지","8218","7174","20231104",""
"20231101","6호선","녹사평(용산구청)","5588","5400","20231104",""
"20231101","6호선","이태원","11562","11826","20231104",""
"20231101","6호선","한강진","9898","11386","20231104",""
"20231101","6호선","버티고개","2482","2415","20231104",""
"20231101","6호선","약수","4281","4095","20231104",""
"20231101","6호선","청구","4257","4345","20231104",""
"20231101","6호선","신당","9282","9716","20231104",""
"20231101","6호선","동묘앞","8621","8913","20231104",""
"20231101","6호선","창신","4082","3510","20231104",""
"20231101","6호선","보문","8747","8145","20231104",""
"20231101","6호선","안암(고대병원앞)","16151","16718","20231104",""
"20231101","6호선","고려대(종암)","10794","10423","20231104",""
"20231101","6호선","월곡(동덕여대)","14412","13896","20231104",""
"20231101","6호선","상월곡(한국과학기술연구원)","7720","7265","20231104",""
"20231101","6호선","돌곶이","11373","10414","20231104",""
"20231101","6호선","석계","13863","14314","20231104",""
"20231101","6호선","태릉입구","6195","7314","20231104",""
"20231101","6호선","화랑대(서울여대입구)","14536","11322","20231104",""
"20231101","6호선","봉화산(서울의료원)","10331","9660","20231104",""
"20231101","7호선","장암","2913","1163","20231104",""
"20231101","7호선","도봉산","10492","11885","20231104",""
"20231101","7호선","수락산","13355","13096","20231104",""
"20231101","7호선","마들","14661","13732","20231104",""
"20231101","7호선","노원","20907","21774","20231104",""
"20231101","7호선","중계","17102","15945","20231104",""
"20231101","7호선","하계","20581","19269","20231104",""
"20231101","7호선","공릉(서울과학기술대)","13612","13420","20231104",""
"20231101","7호선","태릉입구","10197","9802","20231104",""
"20231101","7호선","먹골","11009","10839","20231104",""
"20231101","7호선","중화","11822","11643","20231104",""
"20231101","7호선","상봉(시외버스터미널)","18125","17400","20231104",""
"20231101","7호선","면목","17531","17030","20231104",""
"20231101","7호선","사가정","17693","17823","20231104",""
"20231101","7호선","용마산(용마폭포공원)","6633","6506","20231104",""
"20231101","7호선","중곡","12693","11854","20231104",""
"20231101","7호선","군자(능동)","16407","13046","20231104",""
"20231101","7호선","어린이대공원(세종대)","19096","19947","20231104",""
"20231101","7호선","건대입구","14551","14825","20231104",""
"20231101","7호선","뚝섬유원지","9425","9068","20231104",""
"20231101","7호선","청담","21993","24028","20231104",""
"20231101","7호선","강남구청","18628","20511","20231104",""
"20231101","7호선","학동","27642","28851","20231104",""
"20231101","7호선","논현","20201","20346","20231104",""
"20231101","7호선","반포","7001","6739","20231104",""
"20231101","7호선","고속터미널","16716","14859","20231104",""
"20231101","7호선","내방","16611","16815","20231104",""
"20231101","7호선","이수","17130","16760","20231104",""
"20231101","7호선","남성","12744","12062","20231104",""
"20231101","7호선","숭실대입구(살피재)","17661","17671","20231104",""
"20231101","7호선","상도","14117","14095","20231104",""
"20231101","7호선","장승배기","10252","9937","20231104",""
"20231101","7호선","신대방삼거리","16464","15708","20231104",""
"20231101","7호선","보라매","7447","7816","20231104",""
"20231101","7호선","신풍","12413","11604","20231104",""
"20231101","7호선","대림(구로구청)","8821","8782","20231104",""
"20231101","7호선","남구로","17020","17894","20231104",""
"20231101","7호선","가산디지털단지","50391","51059","20231104",""
"20231101","7호선","철산","23300","23584","20231104",""
"20231101","7호선","광명사거리","21745","21343","20231104",""
"20231101","7호선","천왕","13089","12410","20231104",""
"20231101","7호선","온수(성공회대입구)","11744","10666","20231104",""
"20231101","8호선","암사","20605","18042","20231104",""
"20231101","8호선","천호(풍납토성)","15701","17980","20231104",""
"20231101","8호선","강동구청","11542","11865","20231104",""
"20231101","8호선","몽촌토성(평화의문)","7460","7445","20231104",""
"20231101","8호선","잠실(송파구청)","15822","18982","20231104",""
"20231101","8호선","석촌","8527","9733","20231104",""
"20231101","8호선","송파","10511","10050","20231104",""
"20231101","8호선","가락시장","8516","9430","20231104",""
"20231101","8호선","문정","24314","25465","20231104",""
"20231101","8호선","장지","18701","17157","20231104",""
"20231101","중앙선","신원","199","172","20231104",""
"20231101","8호선","복정","10698","9093","20231104",""
"20231101","8호선","산성","5819","5841","20231104",""
"20231101","8호선","남한산성입구(성남법원.검찰청)","16333","14973","20231104",""
"20231101","중앙선","양평","3083","3230","20231104",""
"20231101","8호선","신흥","5372","5650","20231104",""
"20231101","8호선","수진","5877","5614","20231104",""
"20231101","8호선","모란","4743","3649","20231104",""
"20231101","8호선","남위례","8223","8340","20231104",""
"20231101","9호선","개화","3277","2163","20231104",""
"20231101","9호선","김포공항","6675","9996","20231104",""
"20231101","9호선","공항시장","3127","3384","20231104",""
"20231101","9호선","신방화","7591","7440","20231104",""
"20231101","9호선","마곡나루(서울식물원)","14802","14605","20231104",""
"20231101","9호선","양천향교","11154","11253","20231104",""
"20231101","9호선","가양","24374","23853","20231104",""
"20231101","9호선","증미","8881","8560","20231104",""
"20231101","9호선","등촌","13222","12624","20231104",""
"20231101","9호선","염창","19730","19153","20231104",""
"20231101","9호선","신목동","5155","4430","20231104",""
"20231101","9호선","선유도","10176","9646","20231104",""
"20231101","9호선","당산","20964","20892","20231104",""
"20231101","9호선","국회의사당","19067","19795","20231104",""
"20231101","9호선","여의도","32411","31553","20231104",""
"20231101","9호선","샛강","7188","7358","20231104",""
"20231101","9호선","노량진","27998","27252","20231104",""
"20231101","9호선","노들","5155","4183","20231104",""
"20231101","9호선","흑석(중앙대입구)","11338","11460","20231104",""
"20231101","9호선","동작(현충원)","1938","1590","20231104",""
"20231101","9호선","구반포","1239","1297","20231104",""
"20231101","9호선","신반포","4667","4405","20231104",""
"20231101","9호선","고속터미널","14067","18765","20231104",""
"20231101","9호선","사평","4444","4218","20231104",""
"20231101","9호선","신논현","31651","31017","20231104",""
"20231101","9호선2~3단계","언주","12603","12756","20231104",""
"20231101","9호선2~3단계","선정릉","11519","12241","20231104",""
"20231101","9호선2~3단계","삼성중앙","8603","8925","20231104",""
"20231101","9호선2~3단계","봉은사","22904","23333","20231104",""
"20231101","9호선2~3단계","종합운동장","4971","4978","20231104",""
"20231101","9호선2~3단계","삼전","8234","7637","20231104",""
"20231101","9호선2~3단계","석촌고분","7437","7205","20231104",""
"20231101","9호선2~3단계","석촌","9886","9078","20231104",""
"20231101","9호선2~3단계","송파나루","5540","5874","20231104",""
"20231101","9호선2~3단계","한성백제","3220","2925","20231104",""
"20231101","9호선2~3단계","올림픽공원(한국체대)","7666","8062","20231104",""
"20231101","9호선2~3단계","둔촌오륜","1224","1228","20231104",""
"20231101","9호선2~3단계","중앙보훈병원","13509","11916","20231104",""
"20231101","경강선","판교","6586","6428","20231104",""
"20231101","경강선","이매","1331","1150","20231104",""
"20231101","경강선","삼동","2823","2737","20231104",""
"20231101","경강선","경기광주","8842","8199","20231104",""
"20231101","경강선","초월","3936","3736","20231104",""
"20231101","경강선","곤지암","3113","2906","20231104",""
"20231101","경강선","신둔도예촌","1642","1502","20231104",""
"20231101","경강선","이천","2748","2917","20231104",""
"20231101","경강선","부발","2448","2357","20231104",""
"20231101","경강선","세종대왕릉","368","366","20231104",""
"20231101","경강선","여주","2900","3008","20231104",""
"20231101","경부선","서울역","7610","2649","20231104",""
"20231101","경부선","남영","11514","12160","20231104",""
"20231101","경부선","용산","37676","38845","20231104",""
"20231101","경부선","노량진","9473","9363","20231104",""
"20231101","경부선","대방","11932","13211","20231104",""
"20231101","경부선","영등포","39485","40848","20231104",""
"20231101","경부선","신도림","4457","4607","20231104",""
"20231101","경부선","신길","9931","8512","20231104",""
"20231101","경부선","구로","19362","19707","20231104",""
"20231101","경부선","가산디지털단지","19967","22511","20231104",""
"20231101","경부선","금천구청","12733","12689","20231104",""
"20231101","경부선","석수","10230","9270","20231104",""
"20231101","경부선","관악","8433","7962","20231104",""
"20231101","경부선","안양","28766","29150","20231104",""
"20231101","경부선","명학","11159","10956","20231104",""
"20231101","경부선","금정","30871","31269","20231104",""
"20231101","경부선","군포","8433","8212","20231104",""
"20231101","경부선","의왕","10234","10237","20231104",""
"20231101","경부선","성균관대","17793","17573","20231104",""
"20231101","경부선","화서","9710","9364","20231104",""
"20231101","경부선","수원","37752","40053","20231104",""
"20231101","경부선","독산","20455","21151","20231104",""
"20231101","경부선","세류","3688","3535","20231104",""
"20231101","경부선","병점","17939","17618","20231104",""
"20231101","경부선","세마","3453","3346","20231104",""
"20231101","경부선","오산대","4611","4284","20231104",""
"20231101","경부선","오산","10878","11036","20231104",""
"20231101","경부선","진위","2021","1877","20231104",""
"20231101","경부선","송탄","4723","4549","20231104",""
"20231101","경부선","서정리","9524","8725","20231104",""
"20231101","경부선","평택지제","4746","4602","20231104",""
"20231101","경부선","평택","13736","13880","20231104",""
"20231101","경부선","성환","7605","7273","20231104",""
"20231101","경부선","직산","1032","961","20231104",""
"20231101","경부선","두정","8414","8584","20231104",""
"20231101","경부선","천안","7009","6965","20231104",""
"20231101","경부선","당정","7335","6963","20231104",""
"20231101","경부선","서동탄","1635","1344","20231104",""
"20231101","경부선","광명","3781","3276","20231104",""
"20231101","경원선","이촌(국립중앙박물관)","4589","3550","20231104",""
"20231101","경원선","서빙고","2650","2534","20231104",""
"20231101","경원선","한남","4609","4342","20231104",""
"20231101","경원선","옥수","74","41","20231104",""
"20231101","경원선","응봉","2223","1773","20231104",""
"20231101","경원선","왕십리(성동구청)","16993","17439","20231104",""
"20231101","경원선","청량리(서울시립대입구)","16431","17611","20231104",""
"20231101","경원선","외대앞","11319","11286","20231104",""
"20231101","경원선","신이문","9198","8441","20231104",""
"20231101","경원선","석계","8456","9459","20231104",""
"20231101","경원선","광운대","10092","9635","20231104",""
"20231101","경원선","월계","8613","8058","20231104",""
"20231101","경원선","녹천","4944","4179","20231104",""
"20231101","경원선","방학","11009","10822","20231104",""
"20231101","경원선","도봉","6349","6091","20231104",""
"20231101","경원선","도봉산","7753","4836","20231104",""
"20231101","경원선","망월사","10402","10589","20231104",""
"20231101","경원선","회룡","14059","13874","20231104",""
"20231101","경원선","의정부","19289","19761","20231104",""
"20231101","경원선","가능","7130","6897","20231104",""
"20231101","경원선","녹양","5068","4795","20231104",""
"20231101","경원선","양주","8104","7615","20231104",""
"20231101","경원선","덕계","5561","4994","20231104",""
"20231101","경원선","덕정","7183","6798","20231104",""
"20231101","경원선","지행","6842","6843","20231104",""
"20231101","경원선","동두천중앙","3136","3121","20231104",""
"20231101","경원선","보산","1560","1398","20231104",""
"20231101","경원선","동두천","2641","2793","20231104",""
"20231101","경원선","소요산","2697","2237","20231104",""
"20231101","경의선","서울역","5459","6998","20231104",""
"20231101","경의선","신촌","1208","1554","20231104",""
"20231101","경의선","효창공원앞","3734","4086","20231104",""
"20231101","경의선","공덕","4467","3662","20231104",""
"20231101","경의선","서강대","2753","2699","20231104",""
"20231101","경의선","홍대입구","2182","2517","20231104",""
"20231101","경의선","가좌","6744","6288","20231104",""
"20231101","경의선","디지털미디어시티","3081","2788","20231104",""
"20231101","경의선","수색","3833","3883","20231104",""
"20231101","경의선","화전","4001","3782","20231104",""
"20231101","경의선","강매","3836","3349","20231104",""
"20231101","경의선","행신","9165","9004","20231104",""
"20231101","경의선","능곡","5440","5011","20231104",""
"20231101","경의선","곡산","740","762","20231104",""
"20231101","경의선","백마","8182","7934","20231104",""
"20231101","경의선","풍산","6570","6143","20231104",""
"20231101","경의선","일산","11848","11739","20231104",""
"20231101","경의선","탄현","8950","8434","20231104",""
"20231101","경의선","야당","9059","8975","20231104",""
"20231101","경의선","운정","8423","7681","20231104",""
"20231101","경의선","금릉","5853","5646","20231104",""
"20231101","경의선","금촌","7223","7100","20231104",""
"20231101","경의선","월롱","2624","2291","20231104",""
"20231101","경의선","파주","1687","1351","20231104",""
"20231101","경의선","문산","5524","5206","20231104",""
"20231101","경의선","임진강","51","46","20231104",""
"20231101","경의선","운천","7","2","20231104",""
"20231101","경인선","개봉","24017","23497","20231104",""
"20231101","경인선","오류동","12859","12090","20231104",""
"20231101","중앙선","국수","771","738","20231104",""
"20231101","경인선","역곡","30758","30435","20231104",""
"20231101","경인선","부천","34419","34389","20231104",""
"20231101","경인선","송내","29908","29526","20231104",""
"20231101","경인선","부평","29416","30966","20231104",""
"20231101","경인선","백운","8414","8274","20231104",""
"20231101","경인선","동암","16898","16890","20231104",""
"20231101","경인선","주안","21047","19407","20231104",""
"20231101","경인선","제물포","12359","11733","20231104",""
"20231101","경인선","동인천","15717","14927","20231104",""
"20231101","경인선","인천","3848","2928","20231104",""
"20231101","경인선","구일","7939","7789","20231104",""
"20231101","경인선","소사","9097","8681","20231104",""
"20231101","경인선","부개","9820","9150","20231104",""
"20231101","경인선","간석","6506","6149","20231104",""
"20231101","경인선","도원","3434","3533","20231104",""
"20231101","경인선","온수(성공회대입구)","7147","6840","20231104",""
"20231101","경인선","중동","10378","9777","20231104",""
"20231101","경인선","도화","4695","4371","20231104",""
"20231101","경춘선","신내","2541","2456","20231104",""
"20231101","경춘선","갈매","3477","2983","20231104",""
"20231101","경춘선","별내","3547","3402","20231104",""
"20231101","경춘선","퇴계원","3927","3659","20231104",""
"20231101","경춘선","사릉","2567","2470","20231104",""
"20231101","경춘선","금곡","1688","1676","20231104",""
"20231101","경춘선","평내호평","7145","6951","20231104",""
"20231101","경춘선","천마산","1756","1588","20231104",""
"20231101","경춘선","마석","4162","4053","20231104",""
"20231101","경춘선","대성리","485","467","20231104",""
"20231101","경춘선","청평","1713","1723","20231104",""
"20231101","경춘선","상천","305","283","20231104",""
"20231101","경춘선","가평","2120","2057","20231104",""
"20231101","경춘선","굴봉산","99","87","20231104",""
"20231101","경춘선","백양리","64","74","20231104",""
"20231101","경춘선","강촌","507","547","20231104",""
"20231101","경춘선","김유정","331","318","20231104",""
"20231101","경춘선","남춘천","2560","2481","20231104",""
"20231101","경춘선","춘천","1660","1437","20231104",""
"20231101","공항철도 1호선","서울역","12289","10674","20231104",""
"20231101","공항철도 1호선","공덕","3068","3948","20231104",""
"20231101","공항철도 1호선","홍대입구","13347","13194","20231104",""
"20231101","공항철도 1호선","디지털미디어시티","16109","15138","20231104",""
"20231101","공항철도 1호선","마곡나루(서울식물원)","13397","12840","20231104",""
"20231101","공항철도 1호선","김포공항","10070","6000","20231104",""
"20231101","공항철도 1호선","계양","14630","13473","20231104",""
"20231101","공항철도 1호선","검암","7384","7789","20231104",""
"20231101","중앙선","아신","646","658","20231104",""
"20231101","공항철도 1호선","청라국제도시","8399","7790","20231104",""
"20231101","공항철도 1호선","운서","9172","9409","20231104",""
"20231101","공항철도 1호선","공항화물청사","2366","2548","20231104",""
"20231101","공항철도 1호선","인천공항1터미널","12776","11782","20231104",""
"20231101","공항철도 1호선","인천공항2터미널","6328","5407","20231104",""
"20231101","공항철도 1호선","영종","4042","4155","20231104",""
"20231101","과천선","선바위","8915","7829","20231104",""
"20231101","과천선","경마공원","2020","2045","20231104",""
"20231101","과천선","대공원","4989","4984","20231104",""
"20231101","과천선","과천","7167","6528","20231104",""
"20231101","과천선","정부과천청사","12644","13285","20231104",""
"20231101","과천선","인덕원","27495","28369","20231104",""
